Question,Answer,Category
Quy trình tuyển dụng là gì?,"Quy trình tuyển dụng của chúng tôi gồm 4 bước: 1) Nộp hồ sơ và sơ tuyển CV - HR sẽ review trong 3-5 ngày làm việc, 2) Phỏng vấn vòng 1 với HR - đánh giá soft skills và culture fit (30-45 phút), 3) Phỏng vấn vòng 2 với Technical Lead/Manager - đánh giá kỹ năng chuyên môn và giải quyết vấn đề (60-90 phút), 4) Nhận offer và onboarding - thời gian xử lý từ 1-2 tuần. Chúng tôi luôn phản hồi kết quả cho tất cả ứng viên.",recruitment_process
Cần chuẩn bị gì cho phỏng vấn?,"Để chuẩn bị tốt cho phỏng vấn, bạn nên: 1) CV cập nhật với thông tin chính xác và highlight các thành tựu, 2) Portfolio hoặc các dự án đã làm (GitHub, demo, case study), 3) Tìm hiểu về công ty (website, sản phẩm, văn hóa, tin tức), 4) Chuẩn bị câu trả lời cho các câu hỏi phổ biến (giới thiệu bản thân, điểm mạnh/yếu, lý do ứng tuyển, kế hoạch 3-5 năm), 5) Trang phục chỉnh chu, business casual, 6) Đến đúng giờ hoặc sớm 10-15 phút, 7) Chuẩn bị câu hỏi để hỏi interviewer. Đối với vị trí technical: ôn lại kiến thức chuyên môn, thuật toán, data structures, design patterns và practice coding trên LeetCode/HackerRank.",interview_preparation
Thời gian thử việc là bao lâu?,"Thời gian thử việc tiêu chuẩn là 2 tháng (60 ngày làm việc). Trong thời gian này, bạn sẽ được: 1) Đánh giá năng lực chuyên môn và khả năng thích nghi, 2) Giao việc thực tế và tham gia dự án, 3) Có mentor/buddy hỗ trợ, 4) Review định kỳ hàng tuần/tháng. Lương thử việc thường là 85-100% lương chính thức tùy vị trí và kinh nghiệm. Sau 2 tháng, nếu đạt yêu cầu, bạn sẽ được ký hợp đồng chính thức với mức lương đã thỏa thuận. Một số vị trí senior có thể thử việc 1 tháng.",probation_period
Công ty có đào tạo nhân viên mới không?,"Có, chúng tôi có chương trình onboarding và đào tạo toàn diện cho nhân viên mới: 1) Onboarding week - giới thiệu công ty, team, quy trình làm việc, 2) Technical training - đào tạo về tech stack, coding standards, best practices, 3) Mentor/Buddy program - được senior hướng dẫn 1-1 trong 3-6 tháng đầu, 4) Internal training - các khóa học nội bộ về soft skills, technical skills, 5) External training - hỗ trợ học online courses (Udemy, Coursera), tham gia workshop/conference, 6) Career development - lộ trình phát triển cá nhân rõ ràng. Chúng tôi đầu tư vào phát triển nhân viên vì tin rằng đó là chìa khóa thành công.",training
Chế độ phúc lợi như thế nào?,"Chế độ phúc lợi của chúng tôi bao gồm: 1) Lương thưởng: Lương tháng 13, thưởng hiệu suất 2-4 tháng lương/năm, review lương 2 lần/năm, 2) Bảo hiểm: BHXH đầy đủ theo luật, bảo hiểm sức khỏe cao cấp (Bảo Việt/Prudential) cho nhân viên và gia đình, bảo hiểm tai nạn 24/7, 3) Nghỉ phép: 12 ngày phép năm + 3 ngày sick leave, nghỉ sinh nhật, nghỉ lễ theo quy định, 4) Hoạt động: Du lịch công ty hàng năm (trong/ngoài nước), team building quý, happy hour hàng tuần, 5) Làm việc: Flexible working hours, hybrid/remote options, laptop và thiết bị hiện đại, văn phòng đẹp với gym/game room, 6) Khác: Hỗ trợ ăn trưa, gửi xe, học tiếng Anh, chứng chỉ chuyên môn.",benefits
Làm việc remote có được không?,"Chính sách remote của chúng tôi linh hoạt tùy vị trí: 1) Hybrid working - 2-3 ngày/tuần tại văn phòng, còn lại remote (áp dụng cho hầu hết vị trí sau thử việc), 2) Full remote - một số vị trí senior hoặc đặc thù có thể làm remote 100%, 3) Flexible hours - không bắt buộc giờ cố định, chỉ cần đảm bảo overlap 4-5 giờ với team, 4) Work from anywhere - 1 tháng/năm có thể làm việc từ bất kỳ đâu. Trong thời gian thử việc, yêu cầu làm việc tại văn phòng để dễ dàng hỗ trợ, đào tạo và tích hợp vào team. Sau thử việc, bạn có thể thảo luận với manager về lịch làm việc phù hợp.",remote_work
Cơ hội thăng tiến như thế nào?,"Công ty có lộ trình thăng tiến rõ ràng và công bằng: 1) Career path: Junior → Mid → Senior → Lead → Manager/Architect (technical track) hoặc PM/Director (management track), 2) Review cycle: Đánh giá hiệu suất 6 tháng/lần với feedback chi tiết, 3) Promotion criteria: Dựa trên năng lực chuyên môn, leadership, impact đến team/công ty, không chỉ dựa vào thâm niên, 4) Thời gian: Trung bình 1.5-2 năm có thể lên level tiếp theo nếu đạt yêu cầu, 5) Hỗ trợ: Training, mentoring, challenging projects để phát triển, 6) Minh bạch: Công khai tiêu chí và quy trình thăng tiến. Nhiều leader hiện tại của chúng tôi đều thăng tiến từ junior.",career_growth
Yêu cầu ngoại ngữ?,"Yêu cầu tiếng Anh tùy vị trí: 1) Vị trí junior/mid: Đọc hiểu tài liệu kỹ thuật, có thể viết email cơ bản, 2) Vị trí senior/lead: Giao tiếp tốt, có thể họp với client/team nước ngoài, 3) Vị trí quốc tế: Tiếng Anh thành thạo, IELTS 6.5+ hoặc tương đương, 4) Một số dự án Nhật Bản: Yêu cầu tiếng Nhật N3-N2. Chúng tôi hỗ trợ học tiếng Anh cho nhân viên: 1) Khóa học tiếng Anh doanh nghiệp, 2) English club hàng tuần, 3) Hỗ trợ chi phí thi chứng chỉ, 4) Môi trường thực hành với dự án quốc tế. Nếu bạn chưa giỏi tiếng Anh, đừng lo, chúng tôi sẽ giúp bạn cải thiện.",language_requirement
Văn hóa công ty như thế nào?,"Văn hóa công ty của chúng tôi được xây dựng trên 5 giá trị cốt lõi: 1) Innovation - Khuyến khích sáng tạo, thử nghiệm, học từ thất bại, 2) Collaboration - Làm việc nhóm, chia sẻ kiến thức, hỗ trợ lẫn nhau, 3) Excellence - Cam kết chất lượng, continuous improvement, 4) Integrity - Trung thực, minh bạch, trách nhiệm, 5) Work-life balance - Tôn trọng thời gian cá nhân, flexible working. Môi trường làm việc: Trẻ trung (độ tuổi trung bình 27), năng động, cởi mở, không phân cấp quá chặt chẽ, khuyến khích đóng góp ý kiến. Hoạt động: Happy hour, game night, sports club (bóng đá, cầu lông), book club, hackathon, tech talk. Chúng tôi tin rằng nhân viên hạnh phúc sẽ tạo ra sản phẩm tốt nhất.",company_culture
Có cơ hội làm việc với công nghệ mới không?,"Có, chúng tôi luôn cập nhật và áp dụng công nghệ mới: 1) Tech stack hiện đại: React, Node.js, Python, Go, Kubernetes, AWS, AI/ML, 2) Innovation time: 20% thời gian để học và thử nghiệm công nghệ mới, 3) Tech talk: Chia sẻ kiến thức hàng tuần về công nghệ mới, 4) Hackathon: Tổ chức quý để build POC với công nghệ mới, 5) Conference: Hỗ trợ tham gia các conference trong/ngoài nước (VietnamJS, DevFest, AWS Summit), 6) Online learning: Tài khoản Udemy, Pluralsight, O'Reilly cho tất cả nhân viên, 7) R&D projects: Các dự án nghiên cứu về AI, blockchain, IoT. Chúng tôi khuyến khích nhân viên đề xuất và áp dụng công nghệ mới vào dự án thực tế.",technology_opportunity
Mức lương có thương lượng được không?,"Có, mức lương hoàn toàn có thể thương lượng dựa trên: 1) Kinh nghiệm và kỹ năng của bạn, 2) Vị trí và level ứng tuyển, 3) Mức lương hiện tại và mong muốn, 4) Kết quả phỏng vấn. Tips để thương lượng lương: 1) Research mức lương thị trường cho vị trí tương tự, 2) Chuẩn bị bằng chứng về giá trị bạn mang lại (portfolio, achievements), 3) Đưa ra con số cụ thể và lý do, 4) Linh hoạt, sẵn sàng thảo luận về tổng package (lương + bonus + benefits), 5) Thể hiện sự quan tâm đến công việc, không chỉ lương. Chúng tôi luôn cố gắng đưa ra offer công bằng và cạnh tranh với thị trường. Nếu bạn có offer từ công ty khác, hãy chia sẻ để chúng tôi xem xét.",salary_negotiation
Có cơ hội đi onsite nước ngoài không?,"Có, chúng tôi có nhiều dự án quốc tế với cơ hội onsite: 1) Các nước: Nhật Bản, Singapore, Úc, Mỹ, châu Âu, 2) Thời gian: Từ 1-2 tuần (business trip) đến 3-12 tháng (long-term onsite), 3) Điều kiện: Tiếng Anh/Nhật tốt, kỹ năng chuyên môn vững, đã làm việc ít nhất 1 năm, 4) Hỗ trợ: Visa, vé máy bay, accommodation, per diem, bảo hiểm, 5) Lợi ích: Học hỏi văn hóa làm việc quốc tế, nâng cao kỹ năng, mở rộng network, thu nhập cao hơn. Nhiều nhân viên của chúng tôi đã có cơ hội onsite và phát triển sự nghiệp rất tốt. Nếu bạn có mong muốn đi onsite, hãy chia sẻ với manager để được hỗ trợ.",onsite_opportunity
